Company,Position,Connected On
Carnegie Mellon University,Research Assistant,28 Dec 2021
Motion Recruitment,Senior Talent Advisor,08 Dec 2021
Lucas James Talent Partners,Sourcing Specialist,07 Dec 2021
Franchise Advisory Network,Franchise Talent Acquisition,02 Dec 2021
Edmunds,Lead Analyst,01 Dec 2021
Harvard Business School Executive Education,Associate Faculty & Researcher at Harvard Business School Executive Education and Harvard Health,30 Nov 2021
PFM,Environmental Finance Group | Senior Managing Consultant (Advisory),20 Nov 2021
"ARNOLD S. WARWICK & CO., LTD.",Assistant Property Manager,18 Nov 2021
Apple,Specialist,17 Nov 2021
Slalom,Talent Acquisition Manager,15 Nov 2021
Slalom,Business Intelligence Developer,12 Nov 2021
Slalom,"Senior Manager, Global Business Enablement",12 Nov 2021
Leaf Group,"Frontend Engineer - Product, Saatchi Art",10 Nov 2021
Slalom,Talent Acquisition Manager,06 Nov 2021
Slalom,Director of Financial Planning and Analysis,04 Nov 2021
Slalom,Financial Analyst,04 Nov 2021
Slalom,Senior Data Analyst,27 Oct 2021
GeoJunxion BV,Data Scientist,27 Oct 2021
Cryptoroots,Executive trader,27 Oct 2021
Caltech,Research Technician Assistant ,19 Oct 2021
Eleven Recruiting,Lead Technical Recruiter,15 Oct 2021
Scripps College,Senior Outreach Coordinator,13 Oct 2021
Slalom,Senior Financial Analyst,12 Oct 2021
One Community LLC,"Coordinator, Office of the CEO ",09 Oct 2021
Democratic National Committee,Voter Protection & Insights Analyst,09 Oct 2021
Watershed,Carbon Data Analyst,08 Oct 2021
Payden & Rygel,Emerging Markets Portfolio Analyst,08 Oct 2021
CCS Fundraising,"AVP, Data Analytics & Insights ",06 Oct 2021
The NPD Group,Recruitment Operations Manager,06 Oct 2021
ASP- Staffing,Executive Recruiter,06 Oct 2021
CCS Fundraising,Data Analyst,04 Oct 2021
Saggezza,Senior Recruiter,04 Oct 2021
Atlantic Health System,Summer Intern,02 Oct 2021
VotingSmarter,Founder/CEO,30 Sep 2021
JusticeCorps Los Angeles,JusticeCorps Graduate Fellow,28 Sep 2021
West 10G Productions,CEO/President,27 Sep 2021
Self-employed,Visual Artist,25 Sep 2021
Federal Reserve Bank of New York,Senior Research Analyst,25 Sep 2021
Democratic National Committee,"Analytics Lead, DNC Programs",24 Sep 2021
Freelancer.com,Certification Specialist,22 Sep 2021
University of Florida,Research Assistant,22 Sep 2021
Democratic National Committee,Senior Fundraising Analyst,21 Sep 2021
Amazon Web Services (AWS),Event Coordinator,20 Sep 2021
Flexton Inc.,Senior Recruiter ,17 Sep 2021
Collabera Inc.,Senior Talent Development Expert,14 Sep 2021
Univision Communications Inc.,Senior Accountant,14 Sep 2021
Taoti Creative,Art Director,13 Sep 2021
8x8,Business Development Representative,10 Sep 2021
Meta,Incoming FBU Engineering Intern,30 Aug 2021
Dockett Ellis Consulting,Founder and Chief Problem Solver,30 Aug 2021
Netflix,Model designer,26 Aug 2021
CCS Fundraising,Senior Vice President,24 Aug 2021
Microsoft,Software Engineer,23 Aug 2021
Blend,Business Development Growth Manager,20 Aug 2021
Iterable,Senior Accountant,19 Aug 2021
Pomona College Black Student Union,Co-Founder,18 Aug 2021
Blueprint Schools Network,Mathematics Teacher,18 Aug 2021
Hirefuel,Recruiter,17 Aug 2021
HireFuel,President,17 Aug 2021
"Milestone Technologies, Inc.",Senior Technical Recruiter,17 Aug 2021
BDG,Account Manager,17 Aug 2021
TransUnion,Sales | Financial Services: Financial Technology Solutions,12 Aug 2021
One Medical,Recruiting Operations Manager,12 Aug 2021
Blend,Organizational Effectiveness  (Sr. Lead),12 Aug 2021
Career Movement,Practice Manager/Technical Recruiter,09 Aug 2021
Blend,"Head of Diversity, Inclusion & Belonging",05 Aug 2021
Johnson Controls,Fire alarm inspector,04 Aug 2021
Blend,Product Marketing,04 Aug 2021
Excell Financial Services,Snr Scrum Master,29 Jul 2021
IT INC - Data and Analytics Engineering Recruitment. ,Managing Director - Analytics and Data Engineering Recruitment Services,29 Jul 2021
AXGlobal,Business Owner,29 Jul 2021
Goldman Sachs,Senior Associate,29 Jul 2021
Blend,Revenue Accounting,29 Jul 2021
Blend,Deal Strategist,22 Jul 2021
Blend,A/R and Revenue Accountant,20 Jul 2021
Salesforce,Senior Technical Program Manager,17 Jul 2021
Guggenheim Partners,Incoming Investment Banking Analyst,15 Jul 2021
Blend,Training Support Specialist,15 Jul 2021
Blend,Software Quality Assurance Engineer,07 Jul 2021
Blend,Senior Software Engineer,07 Jul 2021
Blend,Technical Recruiter (IC4),07 Jul 2021
Blend,Customer Enablement Associate ,07 Jul 2021
Blend,Talent Acquisition,07 Jul 2021
Blend,Marketing Operations Lead,23 Jun 2021
Blend,Finance Intern,23 Jun 2021
Drata,Sr. Program Manager,20 Jun 2021
Blend,Software Engineer,19 Jun 2021
Blend,"Talent Sourcer, GTM Recruiting",17 Jun 2021
Blend,Technical Recruiter,17 Jun 2021
Blend,Strategic Sourcing,17 Jun 2021
Blend,"Diversity and Belonging Partner, EPD",17 Jun 2021
Blend,Software Engineer,17 Jun 2021
Blend,Security Analyst,16 Jun 2021
Blend,Human Resources Information System Analyst,15 Jun 2021
Ares Management Corporation,Associate,11 Jun 2021
Blend,"Recruitment Leader | Engineering, Product & Design",10 Jun 2021
Blend,Software Engineer,10 Jun 2021
City of Newark,Code Enforcement Officer,09 Jun 2021
G4S,Security Guard,09 Jun 2021
Blend,Head Of Finance,08 Jun 2021
Black Rocket Productions,Hybrid Instructor,03 Jun 2021
Blend,Sales Engineer,02 Jun 2021
Blend,Head of Sales & Account Management ,31 May 2021
Blend,Business Development,27 May 2021
Blend,"Group Manager, Integrations",27 May 2021
Blend,"Group Manager, Delivery",27 May 2021
Career Movement,Technical Recruiter,26 May 2021
Blend,Sales Operations Manager,26 May 2021
Graphite Group,Associate Consultant,19 May 2021
Blend,"Demand Generation Lead, Consumer Banking",18 May 2021
Blend,Salesforce Administrator,17 May 2021
The University of Chicago Urban Education Institute,Chief College Officer,17 May 2021
Blend,Head of Consumer Banking,15 May 2021
Blend,Enterprise Customer Success Manager,14 May 2021
Blend,Data Analyst,11 May 2021
Blend,Analytics Engineer,11 May 2021
Blend,Strategic Operations,10 May 2021
Product Teacher,Founder,08 May 2021
Portland Parks & Recreation,Crew Leader ,07 May 2021
Blend,Revenue Operations Analyst,06 May 2021
Blend,Deal Desk Analyst,06 May 2021
Blend,Finance & Strategy,06 May 2021
Blend,Product Finance & Strategy,06 May 2021
Blend,Financial Planning and Analysis,05 May 2021
Blend,"Manager, Strategic Finance",05 May 2021
Blend,Product Finance & Strategy,05 May 2021
Ares Management Corporation,"Principal, Human Resources",01 May 2021
HOVER Inc.,Recruitment Coordinator,29 Apr 2021
2U,Career Coach,28 Apr 2021
HOVER Inc.,"Recruiting, Sales + GTM",27 Apr 2021
HOVER Inc.,"Senior Customer Enablement Manager, HOVER",27 Apr 2021
HOVER Inc.,Software Engineer,26 Apr 2021
California State Polytechnic University-Pomona,"Senior Coordinator, Male Success Initiatives",24 Apr 2021
AG Thrive,"Founder and President of AG Thrive Pschological Consultation, Inc.",23 Apr 2021
HOVER Inc.,Senior Software Engineer,23 Apr 2021
HOVER Inc.,Senior National Account Executive,23 Apr 2021
Wild Health,"VP, Healthcare SaaS",22 Apr 2021
Berkeley College,Academic Advisor,17 Apr 2021
Etekcity,UX Researcher,10 Apr 2021
The Davis Companies,Sr. Technical Recruiter,09 Apr 2021
Saatchi & Saatchi (We Are Saatchi),Analytics Manager,09 Apr 2021
Saatchi & Saatchi,Analytics Supervisor,09 Apr 2021
Career Movement,Senior Associate,09 Apr 2021
Below The Surface HQ,Chief Operating Officer,09 Apr 2021
The Economist,"Editor, Branded Content ",08 Apr 2021
Knwna,Founder,05 Apr 2021
JP Express Service Inc,Inbound Supervisor,03 Apr 2021
Robert Half,Practice Director - Finance & Accounting ,01 Apr 2021
BreakLine Education,"Manager, Customer Success",30 Mar 2021
ACLU,Data Engineer,30 Mar 2021
Whatnot,Director of Strategic Finance,30 Mar 2021
Consumer Financial Protection Bureau,Data Engineering Team Lead,29 Mar 2021
ReliaQuest,Security Analyst at ReliaQuest,29 Mar 2021
BreakLine Education,"Director, BreakLine Apex",27 Mar 2021
Pioneer Natural Resources Company,Project Manager,26 Mar 2021
Voilà ,Managing Partner (Founder),26 Mar 2021
Global Alumni,Teaching Assistant,25 Mar 2021
BreakLine Education,Customer Success Manager,24 Mar 2021
Daversa Partners,Associate,23 Mar 2021
School-to-School International,Technical Manager,23 Mar 2021
Anayas Solutions,"Executive Search Consultant,  specializing in Engineering, IT,  Data Analytics and C-Suite",23 Mar 2021
EASE Inc.,Business Development Representative,22 Mar 2021
Tribal,Co-founder & President,21 Mar 2021
BreakLine Education,Director of Storytelling,19 Mar 2021
Tribal,Sr. Product Designer,18 Mar 2021
BreakLine Education,Director of Admissions,18 Mar 2021
TIBCO,Business Development Executive,15 Mar 2021
Airbnb,Short Term Vacation Rental Owner/Operator,15 Mar 2021
Tata Consultancy Services,Analyst- Data Services,15 Mar 2021
Immigrant Justice Corps,Community Fellow,15 Mar 2021
Initiate Justice,Grants & Compliance Manager,12 Mar 2021
Zendesk,"Global Diversity, Equity & Inclusion Manager",12 Mar 2021
Zendesk,Software Engineer - Customer Experience Dev,12 Mar 2021
Zendesk,Senior DEI Global Events Specialist,12 Mar 2021
BreakLine Education,Founder + CEO,12 Mar 2021
BreakLine Education,Customer Success Manager,11 Mar 2021
A. Solomon Recruits (ASR) ,President,08 Mar 2021
Blend,HR Business Partner,06 Mar 2021
YouTube,Inclusivity Program Manager,05 Mar 2021
Microsoft,"Principal Program Manager, Azure Special Capabilities, Infrastructure & Innovation (ASCII)",05 Mar 2021
BreakLine Education,Participant,05 Mar 2021
Confluent,Enterprise SDR Team Lead,05 Mar 2021
"TriLinc Global, LLC",Human Resources Director,05 Mar 2021
WME (William Morris Endeavor),Music Central,05 Mar 2021
Las Americas Immigrant Advocacy Center,Paralegal - Removal Defense,04 Mar 2021
U.S. Navy Reserve,Lieutenant Commander,04 Mar 2021
Slalom,Senior Consultant,03 Mar 2021
People.ai,Customer Success Manager,03 Mar 2021
EDP Renewables,Origination Associate,02 Mar 2021
Chubb,"Vice President, Global Claims Programs and Global PMO",02 Mar 2021
NVIDIA,Marketing Campaign Manager,02 Mar 2021
NewAperio,Junior Developer,02 Mar 2021
Amplitude,Product Analytics Consultant,02 Mar 2021
Meta,Ecosystems Process Manager,02 Mar 2021
Morgan Stanley,"Associate, Strategist",02 Mar 2021
Rightpoint,Senior Interaction Designer,02 Mar 2021
Elias Law Group,Managing Partner,02 Mar 2021
Meta,Project Manager,02 Mar 2021
Workday,Program Manager / Product Operations Manager,02 Mar 2021
Meta,Data Analytics & Automation Manager,02 Mar 2021
NBA G League,NBA G League Ignite Team Operations Manager,02 Mar 2021
PayPal,Engineering Program Manager,02 Mar 2021
KPMG US,Strategy Manager,02 Mar 2021
United States Marine Corps,Technical Program Manager,02 Mar 2021
Air National Guard,Intelligence Weapons Officer,02 Mar 2021
Confluent,User Success at Confluent | Setting Data In Motion,02 Mar 2021
Dorilton,Senior Cyber Security Auditor,01 Mar 2021
Ingersoll Rand,Sales Application Engineer,01 Mar 2021
BreakLine Education,Director of Advancement,01 Mar 2021
BreakLine Education,Director of Program Operations & Experience,01 Mar 2021
Skylight,Product Designer,01 Mar 2021
US Army,Program Manager,01 Mar 2021
Meta,"Project Manager, Trust & Safety",01 Mar 2021
Primer.ai,Sales Business Development,01 Mar 2021
Walmart eCommerce,Strategic Account Manager (US Marketplace),01 Mar 2021
Turntide Technologies,Product Operations Manager,01 Mar 2021
IEQ Capital,Associate Director,01 Mar 2021
Pacific Executive Search,"Director, Executive Search",26 Feb 2021
Daywalker,Freelance Artist,23 Feb 2021
Up&Up,Capital Markets Associate,23 Feb 2021
Lehigh University,Graduate Research Assistant,22 Feb 2021
Indian Institute of Management Ahmedabad,"Batch Representative, PGPX 2021-22",17 Feb 2021
EffinFunny Productions,Post Production Coordinator,15 Feb 2021
Pacific Links Foundation,Program Specialist,15 Feb 2021
Dotcom Distribution,Operation Analyst,14 Feb 2021
JPMorgan Chase & Co.,Investment Banking Analyst,13 Feb 2021
GoHealth,Manager Strategic Partnerships,11 Feb 2021
BreakLine Education,Director of Customer Success,11 Feb 2021
Slalom,Talent Acquistion Analyst ,11 Feb 2021
Dramatic Results®️,Program Coordinator,11 Feb 2021
Oakland Promise,Associate Manager,09 Feb 2021
"Campus Scout, LLC",Founder and Chief Executive Officer,07 Feb 2021
Bristol Myers Squibb,Engineering Technician,05 Feb 2021
Robinhood,Recruiter,04 Feb 2021
Amplify,"Operations Specialist, CKLA/ELA",03 Feb 2021
Southwest Tennessee Community College,Enrollment Specialist,03 Feb 2021
International Human Rights Art Festival,Director Of Operations,02 Feb 2021
Inclusive Reality LLC,Managing Director | Inclusive Reality,02 Feb 2021
LI & MO,Founder,02 Feb 2021
Nubitz,Founder & CEO,02 Feb 2021
Beachbody,Brand Coordinator,01 Feb 2021
"Cloudflare, Inc.",Business Operations & Strategy,27 Jan 2021
Greenhouse Software,SDR,26 Jan 2021
"P.J. Sipsas, LLC",Principal,26 Jan 2021
"We All Rise, LLC",Co-Founder,26 Jan 2021
Zendesk,Account Executive,26 Jan 2021
JVS SoCal,Grants Development Specialist,26 Jan 2021
University of Washington,Graduate Student Researcher,26 Jan 2021
The Fulbright Program,English Teaching Assistant,24 Jan 2021
Commonfund,Sr. RFP Writer,22 Jan 2021
Jensen Partners,Head of DiversityMetrics™,21 Jan 2021
ScribeAmerica,Scribe,21 Jan 2021
Uber,"Program Manager, Escalations Strategy",20 Jan 2021
Tenant Advocacy Project,Student Advocate,20 Jan 2021
Highspot,Customer Advocacy Marketing Intern,20 Jan 2021
"NorthStar Anesthesia, P.A.","Vice President, Operations",19 Jan 2021
The Ivri Group,Agent Assistant ,19 Jan 2021
"SMBC Nikko Securities America, Inc.",Vice President,15 Jan 2021
"Rouse Services, LLC",Director Of Client Services,08 Jan 2021
Shanrock Partners,"Co-Founder, Partner",04 Jan 2021
LT Executive Search,Vice President,04 Jan 2021
DĮRTY LĀWNDRY,Founder,23 Dec 2020
"Anthem, Inc.",Actuarial Analyst II,15 Dec 2020
SEFCU,Card Operations Manager,15 Dec 2020
"Hire Options, Inc.",Recruiting Manager,11 Dec 2020
Grassbridge LLC,Executive Recruiter Grassbridge,10 Dec 2020
Wanted,Talent Success Manager,29 Nov 2020
Hammer Haley,Managing Partner,25 Nov 2020
KKR & Co. Inc.,Leveraged Credit Analyst,24 Nov 2020
Solugenix,Strategic Client Executive,24 Nov 2020
"Lighthouse Neuropsychology, PLLC",Neuropsychology Assessment Assistant ,24 Nov 2020
Pomona College,Alumni Career Services/Assistant Director of Career Development,16 Nov 2020
Amazon,Area Manager II,16 Nov 2020
AltaMed Health Services,Southeast Los Angeles Regional Coordinator,10 Nov 2020
Kai Keevil's Gardening Company,Freelance Landscaper,05 Nov 2020
"Ocean Avenue Capital Partners, L.P.",Private Equity Analyst,04 Nov 2020
Esri,Product Engineer-Writer ,02 Nov 2020
Impact Advisors,Consultant,02 Nov 2020
Accenture,Manager Management Consulting,02 Nov 2020
project44,Customer Support Analyst,31 Oct 2020
Scoular,Talent Acquisition Manager,26 Oct 2020
Epic,Technical Services Manager,26 Oct 2020
Avema Pharma Solutions,Analytical Scientist I,26 Oct 2020
Morgan Stanley,"Managing Director, Head of Pensions, Endowments, Foundations & Multi-Asset",23 Oct 2020
Scripps College,Admissions Ambassador,15 Oct 2020
Pomona College,Commissioner of Campus Events ,15 Oct 2020
"Sound Point Capital Management, LP",Operations Associate,13 Oct 2020
Suvoda,Associate Project Manager,11 Oct 2020
"Ramsey Jay Jr And Associates, Inc.",Principal,10 Oct 2020
Mint Mobile,Technical Recruiter,10 Oct 2020
Scout Recruiting Group,"Accounting, Finance & Investment Banking Recruiter",08 Oct 2020
QX-Financial,CEO & Founder,08 Oct 2020
The California Endowment,Board Member,04 Oct 2020
Ares Management L.P.,Service Desk Analyst,30 Sep 2020
Goldman Sachs,"Chief of Staff, M&A; Business Unit Manager, Cross Markets & Financial and Strategic Investors Groups",30 Sep 2020
Beka Finance,Investment Banking Analyst,29 Sep 2020
ThoughtWorks,Software Developer,29 Sep 2020
Wpromote,Jr. BI Engineer,27 Sep 2020
"W. W. Norton & Company, Inc.",Editorial Intern,24 Sep 2020
Freelance,"Senior Contract Recruiter (Creative, Mktg, Digital, Tech), Director of Talent & Sourcing Specialist",23 Sep 2020
Coastforward Staffing LLC,Managing Director,23 Sep 2020
AVEVA,Product Support Engineer II,11 Sep 2020
The TCW Group,Investment Professional - Private Credit,11 Sep 2020
Pomona College,George E. and Nancy O. Professor of Economics,09 Sep 2020
"ZapLife, Inc. ",Co-Founder,08 Sep 2020
St. Benedict's Prep,Media Relations/Website Coordinator-Editor,07 Sep 2020
St. Benedict's Prep School,Art Teacher,05 Sep 2020
Memorial Sloan Kettering Cancer Center,"Fellow, Hematology and Oncology",05 Sep 2020
Seton Hall University,Senior Director of Advancement Business Innovations and Operations,05 Sep 2020
Wells Fargo,Compliance Senior Associate (Consumer Finance Law),05 Sep 2020
St.Benedict's Prep,Vice President for Development,05 Sep 2020
National Institute for Student Success,Graduate Research Assistant,05 Sep 2020
Radiance Mental health,Founder,31 Aug 2020
STEAM:CODERS,Executive Director | Founder,28 Aug 2020
Goldman Sachs,Technology Analyst,26 Aug 2020
New Leaf Tree Professionals,Outreach Coordinator,22 Aug 2020
Tripledot Studios,Data Scientist,21 Aug 2020
LinkedIn,Associate Product Manager,21 Aug 2020
PIMCO,"Vice President, Recruiting",21 Aug 2020
NEW MEXICO ASIAN FAMILY CENTER,Executive Director,18 Aug 2020
Stanford Law School,"Research Assistant, Project Coordinator",17 Aug 2020
Affirm,Senior Technical Recruiter,15 Aug 2020
"Intelliswift Software, Inc.",Technical Recruiter,14 Aug 2020
"CarterPierce, LLC",Head of Corporate Recruiting,14 Aug 2020
Rutgers University - Camden,Event Staff Manager,13 Aug 2020
PJT Partners,Investment Banking Summer Analyst,11 Aug 2020
Teach For America,Corps Member,11 Aug 2020
PwC,Central and Eastern Europe Analyst,05 Aug 2020
Ares Management Corporation,Investment Operations Analyst,03 Aug 2020
Sizemore Capital Management,Chief Investment Officer,03 Aug 2020
J.P. Morgan,Client Associate,03 Aug 2020
Harvey Mudd College,Professor of Mathematics,03 Aug 2020
West Coast Financial Jobs,Managing Partner,03 Aug 2020
Inter-American Dialogue,"Intern, Peter D. Bell Rule of Law Program",03 Aug 2020
Stanford University,"Program Director, Secondary Education",03 Aug 2020
Parr3 LLC,Jr Account Manager,02 Aug 2020
Pacific Executive Search,Partner,23 Jul 2020
The Riverside Company,Incoming Private Equity Analyst,23 Jul 2020
Seek Business Capital,Business Intelligence Analyst,22 Jul 2020
"Recruiting Resources, Inc.",Director,22 Jul 2020
Analytic Recruiting,Executive Recruiter,20 Jul 2020
Robert Half,Assistant Vice President,20 Jul 2020
HighWater Search,Founder and Managing Director,12 Jul 2020
Goldman Sachs,Senior Analyst,08 Jul 2020
NHS Herts Valleys Clinical Commissioning Group,Associate Lay Board Member,08 Jul 2020
Mosquito Abatement,Dir. Corporate Communications,04 Jul 2020
St. Benedict's Prep School,"Chairperson, Fine Arts Department; Art Teacher",02 Jul 2020
Glenstone,Emerging Professionals Program Associate,30 Jun 2020
Ares Management Corporation,Partner & Head of Corporate Finance,24 Jun 2020
Ares Management Corporation,"Analyst, Real Estate Debt",23 Jun 2020
Quilt Magazine,Creative Director,19 Jun 2020
Southern Vision Alliance,Communications Coordinator,19 Jun 2020
Pomona Economic Opportunity Center,Fall Intern,10 Jun 2020
The Middlesex Corporation,Field Engineer,09 Jun 2020
The Rally Magazine,Media Critic,09 Jun 2020
JESPY House,Athletic Director,08 Jun 2020
Destructoid Video Game News,Managing Features Editor,04 Jun 2020
Jones Day,Associate,21 May 2020
Aon,Retirement Solutions Specialist,19 May 2020
"Member of Parliament, Senior National Leader",Senior Manager and Campaign Strategist  ,19 May 2020
DWC Enterprise ,Safety Officer at Marion P Thomas Charter School ,07 May 2020
Lake Point Advisory Group,Portfolio Analyst,07 May 2020
"Angel Oak Capital Advisors, LLC",Senior Analyst,02 May 2020
Pearlmark,Associate,27 Apr 2020
