Company,Position,Connected On
Golden Pear Funding,Sr. Customer Success Manager - Team Lead,08 Apr 2016
Goldman Sachs,Analyst,07 Apr 2016
Chicago Public Schools,Teacher,07 Apr 2016
Harvard University Graduate School of Design,Research Assistant,07 Apr 2016
Supergoop!,Assistant Social Media Manager,07 Apr 2016
Japanese American Cultural & Community Center,Interim President & CEO,06 Apr 2016
YAPI,Customer Support Team Lead,04 Apr 2016
University of Washington Human Centered Design & Engineering,Graduate Research Assistant,04 Apr 2016
Hyena Prints,Owner,03 Apr 2016
SAP Investments Holding,Executive Manager,02 Apr 2016
HALEYS BEAUTY ,Digital Marketing Manager,02 Apr 2016
Mila - Quebec Artificial Intelligence Institute,PhD Student,02 Apr 2016
Choco,Vendor Partnership Manager,02 Apr 2016
St. Benedict's Prep School,Mathematics Teacher,31 Mar 2016
United Airlines,Ramp Service Employee,31 Mar 2016
Emory Healthcare,Armed Public Safety Officer II,30 Mar 2016
St. Benedict's Prep School,Teacher,25 Mar 2016
Rocket Companies,Product Designer,24 Mar 2016
Pomona College,Associate Dean of Students for Mentoring and Leadership,24 Mar 2016
Self-Employed,Videographer,23 Mar 2016
Art With Impact,Summer Outreach Coordinator,23 Mar 2016
Yeshiva University,Student Union President,23 Mar 2016
"University of California, Santa Cruz",Junior Specialist (Astrophysics),23 Mar 2016
Interscope Records,Marketing Manager ,23 Mar 2016
American Reading Company,Regional Vice President of Academic Design,10 Mar 2016
Coursedog,Product Manager,09 Mar 2016
Allbirds,eCommerce Operations Coordinator ,09 Mar 2016
Adam Lippes,Assistant Designer,09 Mar 2016
Columbia University Irving Medical Center,Research Technician,09 Mar 2016
MacArthur Foundation,"Coordinator, Fellows Program",06 Mar 2016
Ferguson Enterprises,Hvac Outside Sales,05 Mar 2016
Consumer Federation of America,Antitrust Advocacy Associate,24 Feb 2016
FCB Chicago,"Affinity Group Leader, LGBTQIA+",24 Feb 2016
Cybage Software,Head of Product Marketing-Gratifi,24 Feb 2016
Ministerio de Educación del Gobierno de España,Auxiliar de Conversación,24 Feb 2016
CIBC U.S.,Executive Assistant,14 Feb 2016
"Mostafa Osman Architecture & Design, PLLC",Junior Designer,10 Feb 2016
Psychedelic Support,Social Media Manager,09 Feb 2016
Forward,Operations,09 Feb 2016
"University of Miami,  Miller School of Medicine",PHD Candidate,09 Feb 2016
Pomona College,"Manager, Advancement Communications & Events",09 Feb 2016
Wells Fargo Advisors,Financial Advisor,09 Feb 2016
Meta,"Associate Manager, Content Policy (Oversight Board Team)",09 Feb 2016
Pomona College,Post-Baccalaureate Fellow for Educational Outreach,09 Feb 2016
BAWL Construction Cleaning LLC,Vice President and GM,09 Feb 2016
Meralta Films,Development Assistant at Meralta Films / Personal Assistant to Smriti Mundhra,09 Feb 2016
Handshake,Recruiting Operations Lead,09 Feb 2016
Adobe,Machine Learning Engineer,09 Feb 2016
Galaxy Cereal Studios,Game Developer,09 Feb 2016
Pacific Northwest National Laboratory,National Nuclear Security Administration (NNSA) Graduate Program Graduate Fellow,21 Jan 2016
Amity Search Partners,Vice President,16 Jan 2016
Office of Black Student Affairs,Head Mentor,12 Jan 2016
"University of California, Riverside",Teaching Assistant,11 Jan 2016
California Transportation Commission (CTC),Legislation & Finance Analyst,09 Jan 2016
Peace Corps,Community Health Specialist,09 Jan 2016
Pomona College,Professor,08 Jan 2016
"Freelance, self-employed",Freelance Motion Graphic Designer,08 Jan 2016
Stitch Fix,Styling Strategy and Business Operations Manager,07 Jan 2016
Carvana,Product Analyst,07 Jan 2016
Teach For America,Board Member- DACA Advisory Initiative,07 Jan 2016
Modern Era Educat,ACT and SAT Tutor,07 Jan 2016
Facebook,AI Resident,02 Jan 2016
Meta,Technical Sourcer,02 Jan 2016
Apartment Therapy Media,Assistant Food Editor @ Kitchn ,02 Jan 2016
Easy Metrics Inc.,Data Administrator,02 Jan 2016
UC Irvine,Program Coordinator,02 Jan 2016
University of Georgia College of Pharmacy,Doctoral Graduate Teaching Assistant ,28 Dec 2015
Noble Network of Charter Schools,Learning Specialist,27 Dec 2015
South China Morning Post SCMP,Production Editor,24 Dec 2015
"University of California, San Francisco - School of Medicine",Medical Student,22 Dec 2015
Goldman Sachs,Associate,22 Dec 2015
House of Commons,Parliamentary Intern,22 Dec 2015
The Book Truck,Intern,22 Dec 2015
Accurate Companies ,Accounting Clerk,22 Dec 2015
St. Benedict's Prep School,Senior Director of Advancement,07 Dec 2015
Bureau of Land Management,"Assessment, Inventory, and Monitoring Field Technician",16 Nov 2015
CrowdStrike,Intelligence Analyst,16 Nov 2015
MediaMath,Site Reliability Engineer I,16 Nov 2015
Uplift Education,Manager of College Access,16 Nov 2015
MMIT (Managed Markets Insight & Technology),Data Research Analyst,16 Nov 2015
Syracuse University - Maxwell School,Doctoral Student,06 Nov 2015
"Glossier, Inc.",Editor,02 Nov 2015
Microsoft,Program Manager II,27 Oct 2015
Hatch,Senior Economic Analyst,27 Oct 2015
"BAD ROBOT PRODUCTIONS, INC",Television Assistant,12 Oct 2015
SillonBlue Technologies,Co-Founder & CEO,26 Sep 2015
Ortho Clinical Diagnostics,Senior Statistician,25 Sep 2015
The Smidt Foundation,Program Coordinator,25 Sep 2015
Uber,Software Engineer,25 Sep 2015
McKinsey & Company,Business Analyst,24 Sep 2015
Deloitte,Human Capital Consultant,11 Sep 2015
Google,Software Engineer,11 Sep 2015
Flipgrid,Product Manager,11 Sep 2015
The Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,"AVP, Development",06 Sep 2015
Inner City Law Center,Tenant Defense Fellow,03 Sep 2015
Pomona College,Library Proctor,31 Aug 2015
Secret Society Motion Pictures,Intern,30 Aug 2015
Comp Sci High,Director of Computer Science,28 Aug 2015
Cyber-Physical Systems Research Group,Data Science Researcher,26 Aug 2015
Cornerstone Research,Research Associate,25 Aug 2015
University of Pennsylvania,Institute of Education Sciences (IES) Pre-doctoral Fellow,19 Aug 2015
MITRE,Intermediate Space Systems Engineer,19 Aug 2015
U.S. House of Representatives,Senior Legislative Assistant for Climate ,19 Aug 2015
YouthWorks,Area Director,14 Aug 2015
Google,User Experience Researcher,14 Aug 2015
Marguerite Casey Foundation,Creative & Storytelling Partner,11 Aug 2015
SLAC National Accelerator Laboratory,Researcher PHD Student,09 Aug 2015
Amazon,"Senior Program Manager, Alexa Mobile",07 Aug 2015
Success Academy Charter Schools,Education Coordinator,07 Aug 2015
The North Ward Center,Family Success Center Director,07 Aug 2015
American Bar Association,Program Associate,05 Aug 2015
Tenants' Rights Workshop,Student Advocate,02 Aug 2015
University of Washington,Research And Teaching Assistant,02 Aug 2015
"URBAN HEALTH PLAN, INC.",Performance Management Specialist,02 Aug 2015
The Great Escape Room,Room Monitor,02 Aug 2015
American Marketing Association,"Assistant Manager, Academic Communities ",23 Jul 2015
St. Benedict's Prep School,Headmaster,22 Jul 2015
Spurwink,Education Technician / Behavioral Health Professional,21 Jul 2015
Gilead Sciences,"Research Associate, Medicinal Chemistry",21 Jul 2015
Family First Life,Life Insurance Agent,15 Jul 2015
JPMorgan Chase & Co.,"Vice President , Area Product Owner, Lending Innovation",09 Jul 2015
Northwestern University,Graduate Student,03 Jul 2015
Goldman Sachs,Associate,02 Jul 2015
Lyft,Software Engineer,01 Jul 2015
American Indian Law Alliance,Research & Policy Adviser,28 Jun 2015
Bilisummaa (Freedom),Founder | Executive Director ,27 Jun 2015
Pomona College,Mathematics Department Mentor,27 Jun 2015
University of California,Graduate Research And Teaching Assistant,27 Jun 2015
Twelve Music Group,Intern,19 Jun 2015
Self Employed,Consultant,17 Jun 2015
Baptist Health,Registered Nurse,16 Jun 2015
Pomona College,Student Caller,15 Jun 2015
The Claremont Colleges Services,"Dean, Student Affairs",12 Jun 2015
PwC,M&A Advisory Senior Associate,09 Jun 2015
The Criterion Collection,Channel Sales,09 Jun 2015
Booz Allen Hamilton,Cloud Full-Stack Software Engineer,09 Jun 2015
Zillow,"Product Manager, Analytics",07 Jun 2015
Cornell Johnson Graduate School of Management,MBA Candidate,02 Jun 2015
New Era Cap,Photographer / Director / Videographer,02 Jun 2015
Noble Schools,Junior College Seminar Teacher and College Counselor,02 Jun 2015
Valley Youth House,Retention Specialist,01 Jun 2015
Facebook,"Data Scientist, Analytics",29 May 2015
WordPress VIP,Enterprise Account Executive,29 May 2015
Lyte,"Associate Strategist, Business Intelligence & Strategy",28 May 2015
Vera Institute of Justice,Program Analyst II,27 May 2015
Harvard University Graduate School of Design,Graduate Student,27 May 2015
Seattle University School of Law,Law Student,26 May 2015
Real Staffing,"Executive Consultant - Head of Clinical Operations, East Coast",22 May 2015
Analog Cyn,Small Business Owner,20 May 2015
Center for an Urban Future,Data Researcher,19 May 2015
Luminor Group,Compliance Analyst (Transformation & Analytics Department),19 May 2015
Kellogg Company,"Manager, Category Strategy",19 May 2015
Pomona College,Clerical Assistant,09 May 2015
Management Leadership for Tomorrow,"Senior Associate, Ascend",06 May 2015
AIG,DEI Consultant,06 May 2015
Indigov,Associate Content Strategist,03 May 2015
Chaffey College,Adjunct Professor,03 May 2015
Wieden + Kennedy,Brand Strategist,03 May 2015
Tutoring by Cortney,Private Tutor,27 Apr 2015
Cambridge Judge Business School,MBA Candidate,23 Apr 2015
Equinix,Senior IT Communications Specialist,23 Apr 2015
Pomona College,Chair and Professor of Politics,21 Apr 2015
KIPP Foundation,8th STEM @ KIPP Bay Area ,16 Apr 2015
Windsor Mill Middle School,8th Grade Science Teacher,15 Apr 2015
Lockheed Martin,Software Engineer,14 Apr 2015
Louis Vuitton,Team Manager,11 Apr 2015
RevitGods,Founder | CEO,09 Apr 2015
OneGoal,Director of New Secondary Partnerships,08 Apr 2015
St. Benedict's Prep School,Leadership Gifts Officer,08 Apr 2015
Medicalwriters.com,Project coordinator,08 Apr 2015
Proof of Impact,Head of Data Solutions,06 Apr 2015
"CC Industries, Inc.",Associate,06 Apr 2015
BCW Global,VP Digital Innovation Group,03 Apr 2015
St. Benedict's Prep School,Assistant Headmaster,23 Mar 2015
"TRC Companies, Inc.",Project Scientist,22 Mar 2015
Massachusetts General Hospital,"Clinical Research Coordinator, Medical Practice Evaluation Center",18 Mar 2015
Boston Consulting Group (BCG),Associate,16 Mar 2015
Pomona College,Undergraduate Research Assistant,13 Mar 2015
FWD.us,Product Manager,13 Mar 2015
Pressed,UX/UI Designer,11 Mar 2015
Fisher Investments,New Employee Onboarding Associate,11 Mar 2015
Yale School of Medicine,Student,11 Mar 2015
OBA Consulting,Business Analyst,05 Mar 2015
Princeton University,"Assistant Director, Gender + Sexuality Resource Center",02 Mar 2015
Association of Schools and Programs of Public Health,Enhancing the Public Health Informatics Workforce Fello,02 Mar 2015
Adventist Health Glendale,Family Medicine Resident Physician,01 Mar 2015
Walt Disney Television,"Coordinator, ABC Comedy Development",28 Feb 2015
Rush University Medical Center,Resident Physician in Orthopaedic Surgery ,27 Feb 2015
UI Health,Family Medicine Medical Scribe Ambassador,27 Feb 2015
University of Washington Medical Center,Research Assistant,25 Feb 2015
University of Washington - School of Medicine,M.D. Candidate,24 Feb 2015
Texas A&M University College of Engineering,Student Coordinator,24 Feb 2015
Fatima for State Assembly 2020,Policy & Communications Director,23 Feb 2015
UCSF Weill Institute for Neurosciences,Research Assistant,23 Feb 2015
Upwork,Freelance Graphic Designer,23 Feb 2015
Professional Physical Therapy,Doctor Of Physical Therapy,20 Feb 2015
Handshake,Customer Success Manager,20 Feb 2015
St. Benedict's Prep School,Director of Technology,19 Feb 2015
"Dan’s Music Studio, LLC",Consultant,19 Feb 2015
Zurich North America,Latent & Environmental Claims Professional,18 Feb 2015
W Magazine,Lead Accessories Assistant,16 Feb 2015
NRT,"Operations Coordinator, Lead Generation Operations",16 Feb 2015
AirServ Corp,Lead,16 Feb 2015
"Stacy and Witbeck, Inc.",Field Engineer,14 Feb 2015
"University of California, Davis",PhD Candidate in Social-Personality Psychology,13 Feb 2015
Harris Williams & Co.,Investment Banking Analyst,11 Feb 2015
"Maune Raichle Hartley French & Mudd, LLC",Paralegal,10 Feb 2015
MEMPHIS RISE ACADEMY INC,Founding 9th Grade Mathematics Teacher,10 Feb 2015
EY,Transfer Pricing,09 Feb 2015
Cliffco Mortgage Bankers,Mortgage Loan Officer,09 Feb 2015
Kaiser Permanente,Clinical Research Associate,08 Feb 2015
Asana,Software Engineer,07 Feb 2015
University of Utah School of Medicine,"Clinical Research Coordinator, Headache Division, Department of Neurology					",07 Feb 2015
Goldman Sachs,Associate,06 Feb 2015
Associated Students of Pomona College,Board of Trustees Student Affairs Committee Representative,01 Feb 2015
The Johns Hopkins University,Graduate Research Assistant,31 Jan 2015
Patients & Purpose,Account Executive,31 Jan 2015
Insperity,"Performance Specialist, Client Training & Development Specialist",28 Jan 2015
Presidents' Alliance on Higher Education and Immigration,Executive Director,27 Jan 2015
Peloton Interactive,Senior Product Manager,27 Jan 2015
Lexperian Consulting LLC,Chief Coach & Consultant,26 Jan 2015
Better,Operations Coordinator,25 Jan 2015
PwC,Product Management - Senior Associate,25 Jan 2015
Jane Street,Trading Desk Operations,23 Jan 2015
Forum Technology Solutions,Technician,23 Jan 2015
Baron Financial Group,Financial Advisor,23 Jan 2015
PGIM Fixed Income," Senior Investment Ops Associate, Derivative Confims - Swaps",23 Jan 2015
Amazon,Amazon 4 Star Retailer,22 Jan 2015
TutorOcean,Organic Chemistry Tutor,21 Jan 2015
160over90,Senior Strategist,21 Jan 2015
Rutgers University–New Brunswick,Student Services,17 Jan 2015
Princeton University,Presidential Postdoctoral Research Fellow,16 Jan 2015
St. Benedict's Prep School,"Physics Teacher, Head Fencing Coach",16 Jan 2015
St. Benedict's Prep School,Dean of Freshmen,15 Jan 2015
REGENXBIO Inc.,"Senior Manager, Pricing & Market Access",14 Jan 2015
Interfaith Youth Core,Program Manager,14 Jan 2015
MRC,Research Manager,13 Jan 2015
Day One Project,Science and Technology Policy Analyst,13 Jan 2015
"Lewis, Marenstein, Wicke, Sherwin, & Lee, LLP",Trial Attorney,13 Jan 2015
MIT Teaching + Learning Lab ,Teaching Development Fellow,13 Jan 2015
International Refugee Assistance Project,"Legal Assistant, US Legal Services Team & Litigation Team",12 Jan 2015
Tesla,Finance Operations Regional Manager,12 Jan 2015
Verizon,"Manager, Marketing Technology",12 Jan 2015
"TRC Companies, Inc.",Energy Efficiency Outreach Manager,12 Jan 2015
Salesforce,"Account Executive, Financial Services GRB",11 Jan 2015
WestEd,Program Assistant,11 Jan 2015
Alpha Phi Alpha Fraternity,Brother,10 Jan 2015
Brick City Rowing,President / Co-Founder,10 Jan 2015
Popeyes Louisiana Kitchen,District Operations Manager,10 Jan 2015
Prudential Financial,"Market Lead, Black Consumer Initiative",09 Jan 2015
Honeycomb Credit,Head Of Marketing,09 Jan 2015
Round Rock ISD,Mathematics Teacher,09 Jan 2015
Scotiabank,Deputy Chief Auditor- US,09 Jan 2015
The University of Chicago,Implementation Manager,09 Jan 2015
St. Benedict's Prep School,Math Department Chair,08 Jan 2015
Stripe,"Technical Account Manager, Global and Strategic Accounts",08 Jan 2015
EU DisinfoLab,Policy Coordinator,08 Jan 2015
The Arcadian,Cook,08 Jan 2015
Kairos Society,Entrepreneurship Fellow,07 Jan 2015
MANGO,Assistant Operations Manager,07 Jan 2015
DGL Group LLC,Graphic Designer,07 Jan 2015
Oatly,Senior Manager of Trade Planning & Business Analytics,07 Jan 2015
Prime Clerk,Senior Advisor,06 Jan 2015
"Unlimited Capital Advisors, LLC",Founder & CEO,06 Jan 2015
Jersey Art Exchange,Executive Director,06 Jan 2015
Civics Unplugged,Co-Founder + CEO,06 Jan 2015
Exyn Technologies,Software Quality Assurance Engineer,05 Jan 2015
Salas O'Brien,Technology Engineer,05 Jan 2015
Airtable,Customer Success Strategy & Operations,05 Jan 2015
Autohaus of irvington ,Lot Manager & Sales Rep,05 Jan 2015
LUX WEALTH PLANNING,Founder & CEO ,05 Jan 2015
Rook x Raven,Shop Manager ,05 Jan 2015
ManpowerGroup,Client Account Director,05 Jan 2015
self,Writer,05 Jan 2015
U.S. Courts,Federal Judicial Law Clerk,05 Jan 2015
Atlantic Health System,Patient Transfer Agent,05 Jan 2015
"University of California, Los Angeles",Doctoral Student & Researcher,05 Jan 2015
Truman Scholars Association,Board Member,05 Jan 2015
University of Minnesota,Graduate Assistant,05 Jan 2015
ASCAP,"Communications and Operations Manager, ASCAP Foundation",29 Dec 2014
Blackstock & Weber,Director Of Operations,29 Dec 2014
Suma Scripts,"Founder, Chief Executive Officer",26 Dec 2014
Macy's,Sales Associate,25 Dec 2014
Colorado Rockies,Scout / Scout Operations Administrator ,21 Dec 2014
ZOLL Medical Corporation,Field Reimbursement Specialist,19 Dec 2014
Diasporic Group,Founder and Managing Director,19 Dec 2014
St. Benedict's Prep School,Big Bee - Director of the Backpacking Project,15 Dec 2014
United States Bankruptcy Court,Case Administrator,11 Dec 2014
Clarivate Analytics (Compumark),"Research Analyst, Clarivate Analytics",06 Dec 2014
Freelance,Independent Consultant,06 Dec 2014
Southeast Asians RISE,Founder & Program Coordinator,06 Dec 2014
Stealth,Co-Founder,06 Dec 2014
U.S. Department of State,Fulbright Grantee,05 Dec 2014
Charlotte-Mecklenburg Schools,Senior Financial Administrative Assistant/Data Manager,05 Dec 2014
Bloomberg Associates,Project Manager,01 Dec 2014
Coastal College Counseling  www.coastal-college.com,"Founder, Independent College Counselor",20 Nov 2014
"Daiichi Sankyo, Inc.",Senior Analyst - Global Business Strategy & Analytics - Oncology Business Unit,15 Nov 2014
D&I Fitness ,Personal Trainer,15 Nov 2014
Walser Automotive Group,Auction Specialist,07 Nov 2014
GP Investments,Analyst,05 Nov 2014
Pomona College,Associate Director of Preprofessional Programs & Prelaw Advisor,04 Nov 2014
Lenahan Coaching,"Owner, Business Coach",02 Nov 2014
Freedom Mortgage,"Valuation Analyst, Capital Markets MSR ",02 Nov 2014
Brown Brothers Harriman,Vice President Storage Administrator ,29 Oct 2014
United States Senate,Congressional Aide to US Senator Cory Booker,29 Oct 2014
Tutor Visions LLC ,Owner,26 Oct 2014
Maxon Auto Group,Salesmen ,20 Oct 2014
American Conference on Diversity,Trainer,20 Oct 2014
St. Benedict's Prep School,Journalism teacher,20 Oct 2014
Flowship,Founder,20 Oct 2014
Shorinjiryu Kenryukan Karatedo,Martial Arts Instructor,19 Oct 2014
"NAACP Legal Defense and Educational Fund, Inc.",Notre Dame Public Interest Law Fellow,19 Oct 2014
"Aledade, Inc.","Senior Product Analyst, Business Intelligence",18 Oct 2014
Proskauer Rose LLP,Law Clerk,18 Oct 2014
United States Marine Corps,Naval Aviator,18 Oct 2014
NYU Langone Health,Research Fellow,16 Oct 2014
Young Audiences/Arts for Learning Maryland,Program & School Relationship Coordinator,16 Oct 2014
Revel Impact,Founder,16 Oct 2014
L'Oréal,Human Resources Director,16 Oct 2014
Jillian Hubbard Consulting,Founder & Principal,15 Oct 2014
ActiveMinds Realty Investment Funding LLC,Chief Executive Officer,15 Oct 2014
St. Benedict's Preparatory School,Annual Giving Officer,15 Oct 2014
Phillips 66,"IT Business Analyst, Lubricants and Specialty Chemicals",15 Oct 2014
USA Gymnastics,Gymnastics Instructor,15 Oct 2014
Schools That Can,Executive Director Newark,15 Oct 2014
St. Benedict's Preparatory School,Director of Annual Giving,15 Oct 2014
Pomona College,Senior Associate Dean of the College ,15 Oct 2014
Pomona College,Summer Events and Conferences Assistant,15 Oct 2014
Bari Katz Consulting,"Social Justice Educator, Curriculum Desiger, Facilitator",14 Oct 2014
US Environmental Protection Agency (EPA),"Public Affairs Specialist - Pathways Intern, Region 9",14 Oct 2014
Pomona College,John Sutton Miner Professor of History and Professor of Classics,14 Oct 2014
Horizon Blue Cross Blue Shield of New Jersey,Senior Business Analyst,14 Oct 2014
